date,place_category,change_from_baseline
2020-04-05,parks,-50
2020-04-05,transit_stations,-58
2020-04-05,workplaces,-17
2020-04-05,residential,14
2020-04-05,retail_recreation_avg,-36.14
2020-04-05,grocery_pharmacy_avg,-17.14
2020-04-05,parks_avg,-35.71
2020-04-05,transit_stations_avg,-52
2020-04-05,workplaces_avg,-30.71
2020-04-05,residential_avg,15.43
2020-04-06,retail_recreation,-34
2020-04-06,grocery_pharmacy,-20
2020-04-06,parks,-31
2020-04-06,transit_stations,-54
2020-04-06,workplaces,-34
2020-04-06,residential,16
2020-04-06,retail_recreation_avg,-35.86
2020-04-06,grocery_pharmacy_avg,-17.14
2020-04-06,parks_avg,-35.57
2020-04-06,transit_stations_avg,-52.43
2020-04-06,workplaces_avg,-30.71
2020-04-06,residential_avg,15.43
2020-04-07,retail_recreation,-33
2020-04-07,grocery_pharmacy,-16
2020-04-07,parks,-30
2020-04-07,transit_stations,-51
2020-04-07,workplaces,-35
2020-04-07,residential,15
2020-04-07,retail_recreation_avg,-35.57
2020-04-07,grocery_pharmacy_avg,-17.14
2020-04-07,parks_avg,-35.29
2020-04-07,transit_stations_avg,-52.71
2020-04-07,workplaces_avg,-30.71
2020-04-07,residential_avg,15.43
2020-04-08,retail_recreation,-34
2020-04-08,grocery_pharmacy,-17
2020-04-08,parks,-30
2020-04-08,transit_stations,-52
2020-04-08,workplaces,-36
2020-04-08,residential,15
2020-04-08,retail_recreation_avg,-36
2020-04-08,grocery_pharmacy_avg,-18.14
2020-04-08,parks_avg,-35.57
2020-04-08,transit_stations_avg,-53.14
2020-04-08,workplaces_avg,-30.86
2020-04-08,residential_avg,15.43
2020-04-09,retail_recreation,-31
2020-04-09,grocery_pharmacy,-13
2020-04-09,parks,-28
2020-04-09,transit_stations,-50
2020-04-09,workplaces,-35
2020-04-09,residential,15
2020-04-09,retail_recreation_avg,-35.71
2020-04-09,grocery_pharmacy_avg,-18.14
2020-04-09,parks_avg,-35.43
2020-04-09,transit_stations_avg,-53.14
2020-04-09,workplaces_avg,-30.86
2020-04-09,residential_avg,15.29
2020-04-10,retail_recreation,-43
